Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C3, C30, C31, C34, C4, C6, C7, C8, C9",C_0402,29,100nF,C1525
"C16, C32, C5",C_0805,3,10uF,C15850
C29,C_0402,1,22pF,C1555
C35,C_0402,1,1uF,C52923
D1,0603,1,Red,C2286
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,25,WS2812B,C2874885
D28,SOT23-6L,1,USBLC6-2SC6,C7519
FB1,FB_0805,1,~,C1015
J4,USB-TYPE-C-015,1,USB_C_Receptacle_PowerOnly_6P, C2927035
L1,L_Bourns-SRN4018,1,SPH4018H2R2MT (2.2uH 2.2A),C370436
Q1,Q_SOT-23,1,S8050,C364312
"R1, R8",R_0402,2,1kΩ,C11702
"R2, R6",R_0402,2,5.1kΩ,C25905
R3,R_0402,1,100kΩ,C25741
R4,R_0402,1,22kΩ,C25768
"R7, R9",R_0402,2,10kΩ,C25744
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-23-5,1,SY8088,C479072
