Designator,Mid X,Mid Y,Rotation,Layer
C1,97.5,-135.0,180.0,bottom
C10,48.0,-40.775,270.0,bottom
C11,35.0,-75.0,90.0,bottom
C12,68.0,-75.225,90.0,bottom
C13,101.0,-75.225,90.0,bottom
C14,134.0,-75.225,90.0,bottom
C15,167.0,-75.225,90.0,bottom
C16,53.5,-54.25,180.0,bottom
C17,147.0,-106.775,270.0,bottom
C18,114.0,-106.775,270.0,bottom
C19,81.0,-106.775,270.0,bottom
C2,94.5,-161.75,90.0,bottom
C20,48.0,-106.775,270.0,bottom
C21,35.0,-141.225,90.0,bottom
C22,68.0,-141.225,90.0,bottom
C23,101.0,-141.225,90.0,bottom
C24,134.0,-141.225,90.0,bottom
C25,167.0,-141.225,90.0,bottom
C26,48.0,-172.775,270.0,bottom
C27,81.0,-172.775,270.0,bottom
C28,114.0,-172.775,270.0,bottom
C29,144.0,-163.25,180.0,bottom
C3,93.775,-135.0,0.0,bottom
C30,180.0,-172.775,270.0,bottom
C31,180.25,-106.75,270.0,bottom
C32,97.5,-161.75,90.0,bottom
C34,147.0,-172.75,270.0,bottom
C35,144.0,-152.0,180.0,bottom
C4,101.0,-135.0,0.0,bottom
C5,117.0,-172.8,270.0,bottom
C6,180.0,-40.775,270.0,bottom
C7,147.0,-40.775,270.0,bottom
C8,114.0,-40.775,270.0,bottom
C9,81.0,-40.775,270.0,bottom
D1,153.25,-153.75,180.0,top
D10,107.5,-140.5,180.0,bottom
D11,140.55,-41.5,0.0,bottom
D12,140.5,-173.5,0.0,bottom
D13,140.5,-140.5,180.0,bottom
D14,173.55,-41.5,0.0,bottom
D15,173.5,-173.5,0.0,bottom
D16,173.5,-140.5,180.0,bottom
D17,173.5,-74.5,180.0,bottom
D18,173.5,-107.5,0.0,bottom
D19,140.55,-74.5,180.0,bottom
D2,41.5,-41.5,0.0,bottom
D20,140.5,-107.5,0.0,bottom
D21,107.5,-74.5,180.0,bottom
D22,107.5,-107.5,0.0,bottom
D23,74.5,-74.5,180.0,bottom
D24,74.5,-107.5,0.0,bottom
D25,41.5,-74.5,180.0,bottom
D26,41.5,-107.5,0.0,bottom
D28,112.8625,-161.6625,270.0,bottom
D3,41.5,-173.5,0.0,bottom
D4,41.5,-140.5,180.0,bottom
D5,74.5,-41.5,0.0,bottom
D6,74.5,-173.5,0.0,bottom
D7,74.5,-140.5,180.0,bottom
D8,107.5,-41.5,0.0,bottom
D9,107.5,-173.5,0.0,bottom
FB1,107.44,-186.0,0.0,bottom
J4,107.5,-182.5,180.0,top
L1,138.25,-164.5,90.0,bottom
Q1,30.19,-47.05,180.0,bottom
Q2,30.25,-41.75,180.0,bottom
R1,144.0,-153.75,180.0,bottom
R10,35.75,-45.25,0.0,bottom
R11,35.75,-48.75,0.0,bottom
R2,106.5,-178.0,0.0,bottom
R3,144.0,-160.75,180.0,bottom
R4,147.25,-160.75,0.0,bottom
R5,35.75,-47.0,0.0,bottom
R6,108.75,-178.0,180.0,bottom
R7,144.0,-155.5,180.0,bottom
R8,35.75,-50.5,0.0,bottom
U1,99.4,-156.56,90.0,top
U2,149.55,-164.3675,270.0,bottom
